0,1,2
48.0,7.8,5.3
48.1,7.8,5.3
48.2,7.8,5.3
48.3,7.8,5.3
48.4,7.8,5.3
48.5,7.8,5.3
48.6,7.8,5.3
48.7,7.8,5.3
48.8,7.8,5.3
48.9,7.8,5.3
49.0,7.8,5.3
49.1,7.8,5.3
49.2,7.8,5.3
49.3,7.8,5.3
49.4,7.8,5.3
49.5,7.8,5.3
49.6,7.8,5.3
49.7,7.8,5.3
49.8,7.8,5.3
49.9,7.8,5.3
50.0,7.8,5.3
