,0,1,2,3,4,5
0,,1.015142301,1.006020484,1.033912911,1.007502866,0.9863143613
0.3333333333,,1.4008894,0.955711826,0.9452895792,0.9494907017,0.9448607119
0.6666666667,,1.827799004,0.9139095752,0.9687862589,0.9004850949,0.8729873973
1,,2.073791393,0.8477204774,0.9926421086,0.8618626022,0.8298692751
1.333333333,,2.350075972,0.8232535483,1.0204243,0.8352464748,0.778640803
1.666666667,,2.445863301,0.7973316445,1.085942708,0.7947238335,0.7131233307
2,,2.568098727,0.7385826689,1.097824324,0.7840119787,0.6715979565
2.333333333,,2.699734398,0.7145843793,1.150701984,0.7483637878,0.6523547433
2.666666667,,2.838141971,0.695948891,1.282410045,0.714233561,0.5872511104
3,,2.81270481,0.6607989528,1.387928102,0.7128462359,0.5658044791
3.333333333,,2.843341245,0.6339418694,1.432524111,0.6914283396,0.5270849559
3.666666667,,2.903438064,0.5961957127,1.507249734,0.6705570712,0.5133960452
4,,2.917127983,0.5683356619,1.600173013,0.6496994985,0.4769950977
4.333333333,,2.910732641,0.5558106003,1.688596628,0.6304672989,0.4202703939
4.666666667,,2.956541467,0.5098575934,1.771275218,0.6378392448,0.4210685966
5,,2.977419692,0.4869775685,1.794231808,0.6288124524,0.3681508049
5.333333333,,2.90961172,0.4528429631,1.926149801,0.6162406788,0.3615852554
5.666666667,,2.938318269,0.4621219161,1.960769397,0.5964617192,0.3418200142
6,,2.933986748,0.4330742756,2.049670331,0.5809916531,0.309007718
6.333333333,,2.936723455,0.4009933247,2.058644219,0.5789425972,0.2965725819
6.666666667,,2.977882061,0.3745189949,2.133771663,0.5638557584,0.2782755655
7,,2.957739262,0.3473757677,2.147954426,0.5508541716,0.2610322928
7.333333333,,2.942432821,0.3453614805,2.241745108,0.5605146479,0.2384750609
7.666666667,,3.02985436,0.3199667774,2.264802492,0.5461196559,0.2193891857
8,,2.973816606,0.2998570614,2.270494097,0.5372168173,0.214782229
8.333333333,,2.961651264,0.3039138322,2.338751329,0.5210225753,0.1897935227
8.666666667,,2.964534319,0.2723460794,2.372585081,0.5323424605,0.1916126968
9,,3.007732212,0.2525823487,2.425023435,0.516878735,0.1609411916
9.333333333,,3.007687429,0.2538756386,2.438591916,0.5172955715,0.1480962339
9.666666667,,3.017180172,0.2351841613,2.511723017,0.5114456332,0.1434407427
10,,3.035941059,0.2226879469,2.565146285,0.5103668628,0.1589993306
10.33333333,,2.941871071,0.1938996538,2.543262949,0.4981067208,0.1527996806
10.66666667,,2.929781873,0.2175839983,2.605001346,0.4816073978,0.1326543784
11,,3.001057146,0.1718025654,2.572918681,0.4869893833,0.1046852036
11.33333333,,3.009573989,0.1755897058,2.598382556,0.4915607831,0.1034428341
11.66666667,,2.94175178,0.1713867769,2.581380193,0.4844892728,0.1088259852
12,,3.009158552,0.1512954181,2.676726883,0.4594046843,0.08574497757
12.33333333,,2.986797948,0.1500634362,2.671967001,0.4764424783,0.0982037463
12.66666667,,3.005002545,0.1363209552,2.702246115,0.4933730926,0.07386965142
13,,3.012384266,0.1343907015,2.718475685,0.4734299159,0.07388310588
13.33333333,,2.945978887,0.1257141089,2.723576733,0.4607576933,0.09509879692
13.66666667,,3.018181027,0.1458403419,2.787241583,0.4606926501,0.08051962763
14,,2.967771984,0.1113320322,2.77172613,0.4700156409,0.08092608463
14.33333333,,2.973895971,0.1111953078,2.774862525,0.4573414873,0.04053568767
14.66666667,,2.976040986,0.09661852959,2.780964263,0.4639646304,0.0728286328
15,,2.975183068,0.09944578246,2.7918984,0.4594761911,0.05274190861
15.33333333,,2.941737531,0.08897897248,2.802736063,0.4776431109,0.03475035766
15.66666667,,3.032750861,0.0793173636,2.783073196,0.4672562664,0.06045258264
16,,2.989033614,0.08938961439,2.835609245,0.461111355,0.04648955852
16.33333333,,2.983801843,0.08184858436,2.843407671,0.4495387481,0.02949310674
16.66666667,,2.985108061,0.07107263256,2.907353362,0.4485399495,0.03556019708
17,,2.944300749,0.07140136652,2.865588599,0.4574927474,0.03241727247
17.33333333,,3.022935605,0.06920283677,2.853791851,0.4523173047,0.03053540428
17.66666667,,3.010288238,0.06215719219,2.903961708,0.4551121701,0.02485536839
18,,2.970275305,0.0652377674,2.850317149,0.4490049614,0.02354034481
18.33333333,,2.981540858,0.05094191826,2.879180462,0.4380760602,0.02662715523
18.66666667,,2.959853247,0.044107926,2.912617393,0.4229345874,0.01039915571
19,,3.004103367,0.04932984846,2.880764509,0.4334476464,0.01999658836
19.33333333,,2.949734102,0.0573747987,2.926108151,0.4538483839,0.03763053152
19.66666667,,2.960605672,0.05468195188,2.913385352,0.4335180361,0.02688923234
20,,3.016541421,0.03499204064,2.943966285,0.4716196242,0.03267117607
20.33333333,,2.975286099,0.04780130238,2.918544033,0.4511367139,0.01871425048
20.66666667,,3.052413008,0.03609975213,2.966321266,0.4408694391,0.01119486974
21,,2.985291284,0.04086358714,2.933447696,0.4501915697,0.003972708911
21.33333333,,3.011468076,0.0001575267744,2.913011791,0.4425788975,0.02384294582
21.66666667,,2.96030885,0.0297474813,2.951316728,0.4381676307,0.004637480937
22,,2.980873199,0.03035731446,2.975474448,0.4531917204,0.02112742089
22.33333333,,3.043559812,0.0003719451364,2.93437973,0.4627901558,0.01035003173
22.66666667,,2.992564283,0.02504934909,2.962501313,0.4367385372,0.02494866578
23,,2.968669126,0.02845906306,2.975558439,0.4512786658,0.02167086047
23.33333333,,2.987434823,0.02141267281,2.945648553,0.4416242814,0.01226187777
23.66666667,,2.99538347,0.01654437258,2.947498836,0.4399260901,0.01110865489
24,,2.999747014,0.02498190576,2.955929965,0.4314458092,0.006381157925
24.33333333,,2.976129089,0.03468692696,2.944855108,0.4546577715,0.009152978845
24.66666667,,2.997343885,0.03021054771,2.930240598,0.4481200807,-0.0008152949807
25,,2.979459339,0.01474795212,2.960899677,0.4454296882,0.01709173366
25.33333333,,2.963069276,0.02391347503,2.991271097,0.441956742,0.00903731299
25.66666667,,2.976069395,0.0264474825,2.947243443,0.4466505347,0.005881107026
26,,3.062679076,0.00848340974,2.972576182,0.4432623485,0.004862052234
26.33333333,,2.974838326,-0.01331041889,2.943918047,0.4505705015,-0.003850540149
26.66666667,,2.975444475,0.005744700741,3.000756858,0.4476973628,-0.0001795443135
27,,2.976027387,0.016998445,2.891944282,0.4383192951,-0.005403152915
27.33333333,,2.967366432,0.003366744608,2.98393388,0.4367453097,-0.01389732455
27.66666667,,3.011856455,0.01282717298,2.990784884,0.4413011839,-0.009504028943
28,,2.981115657,0.01675275372,2.985650778,0.4479980012,0.01084549428
28.33333333,,2.974509499,0.004346216002,2.950100952,0.4324165213,-0.0002246152354
28.66666667,,2.994057579,0.01200266658,2.991198983,0.4384986086,0.008536255427
29,,2.972666893,-0.0173765864,2.940984906,0.4483645738,-0.003446209521
29.33333333,,2.951358215,0.0006922331675,2.990701443,0.4331345177,0.004111072888
29.66666667,,2.994584983,0.01616693165,2.991058971,0.4332083134,0.006673225807
30,,2.97997405,-0.003526011462,2.98978869,0.4270954779,0.002165561356
30.33333333,,3.000083972,-0.004377488997,3.001367668,0.4285748766,-0.01137368365
30.66666667,,2.979307052,0.01216995017,2.984087594,0.4275608423,-0.00834298185
31,,3.011053273,-0.006349174208,2.969419055,0.429027525,0.002430438398
31.33333333,,3.032022598,-0.007020026987,2.980348492,0.4250648499,0.01766213018
31.66666667,,2.985284328,0.01590057087,2.934933591,0.4393952895,-0.008374790196
32,,3.025532189,-0.0001218900375,3.042637957,0.4431673343,0.01784714387
32.33333333,,2.972853049,0.009858609044,3.028475092,0.426548101,0.01390808165
32.66666667,,3.044839111,-0.02409892209,2.952100445,0.4369669809,-0.001381293425
33,,3.044642116,0.01371938474,2.98704961,0.4368717162,-0.00726288103
33.33333333,,2.960757978,0.0005840780983,2.996597983,0.4531451063,0.002069131362
33.66666667,,2.958700241,-0.001901869397,2.931112879,0.4428795345,0.005137080753
34,,2.986607965,0.01593792295,2.966346261,0.4188142968,0.0157950144
34.33333333,,2.988671557,0.001619205954,2.973300721,0.4286094578,-0.007442424724
34.66666667,,2.942759867,0.008191967905,2.96230968,0.4513446732,0.01095846338
35,,3.009395883,-0.002362415304,2.957377552,0.454576204,-0.001494908945
35.33333333,,3.006735963,0.007331301112,2.992294209,0.4237254466,0.01585117895
35.66666667,,2.921424479,-0.001668432288,2.946752601,0.4245690254,-0.002785458797
36,,2.982112948,0.006220031182,2.969143321,0.4260359518,0.001380467447
36.33333333,,2.968279281,-0.003925546068,2.962868237,0.4146192414,-0.006364320612
36.66666667,,2.985608202,0.007482055403,2.95813979,0.4376545613,0.01324488942
37,,3.036262642,0.005832048441,2.986757774,0.4301186482,7.73E-05
37.33333333,,2.961561115,0.02321064604,2.973031569,0.4290361086,-0.01382153104
37.66666667,,3.018805001,-0.01364019553,2.967208849,0.435012136,-0.0114750982
38,,3.02220192,-0.004500198516,2.991723166,0.442420635,-0.008172957321
38.33333333,,3.024592165,0.009419211404,3.003484596,0.444188033,-0.01659564226
38.66666667,,2.96329091,-0.006502410885,2.980745586,0.4354493508,0.008434439802
39,,2.937584535,0.01563406844,2.959670388,0.4362546448,0.004301105491
39.33333333,,3.019692263,0.004774020138,2.993758011,0.4385592655,-0.001099860667
39.66666667,,2.950398311,0.0009333930131,2.98236909,0.4419063877,0.001512395399
40,,3.03471159,-0.008081761813,3.001961736,0.4323941126,-0.009850409176
40.33333333,,2.96473646,-0.003301086371,2.989159274,0.4484068804,-2.36E-05
40.66666667,,3.001361774,0.002782700964,3.029673257,0.4376588852,0.01124606442
41,,3.023016314,-0.002475621075,2.943379849,0.4565339653,-0.003827991575
41.33333333,,3.052055084,0.002160641198,3.001388317,0.4366126667,-0.01550311657
41.66666667,,2.968565411,0.009849893511,2.950408335,0.4517803086,0.006309396763
42,,2.973842542,-0.001668176953,2.95795104,0.4376996998,-0.001137445722
42.33333333,,2.971496126,0.01381124398,2.994296546,0.4171621372,0.00352649066
42.66666667,,2.98913552,-0.001486679021,2.953679583,0.4383999779,0.006530451503
43,,3.010932667,-0.007121684606,3.006006539,0.4397730374,0.009232054907
43.33333333,,3.037444806,-0.003817950441,2.996650628,0.4452681329,0.005348538104
43.66666667,,2.935825608,-0.005257802449,2.94526929,0.4298262508,0.008030696743
44,,3.034623391,-0.009628764483,3.005580164,0.4589588781,0.00828380993
44.33333333,,3.000086609,0.01948918976,2.993489837,0.4274797188,0.01135670186
44.66666667,,2.975581805,0.01126114126,2.960650353,0.4327866449,-0.006272204659
45,,2.947115591,0.01281200675,2.994068636,0.4455127512,-0.01742062158
45.33333333,,2.995840996,-4.84E-05,2.973552774,0.4347155774,-0.004164935315
45.66666667,,2.95685863,0.004212532596,2.957142957,0.4399566798,-0.02710533913
46,,3.005058242,0.004239630076,2.995177688,0.4212380177,-0.004941395131
46.33333333,,3.021209489,-0.01502599336,2.969491903,0.4424665701,0.002844106832
46.66666667,,2.956115974,0.0002629012111,2.986349637,0.426535264,0.005590273254
47,,2.981090836,0.0104628602,2.94374569,0.4419241703,-0.0153055844
47.33333333,,2.978487688,0.005449468431,3.030582767,0.4385852799,-0.004145716899
47.66666667,,2.986819944,0.007131585981,3.015471267,0.4445679655,0.01439065483
48,,2.998333001,0.005593453015,2.991092072,0.4431021661,-0.002333666821
48.33333333,,3.007318544,-0.001406688279,2.942028901,0.4353168235,-0.0027410714
48.66666667,,2.976147445,0.009022282394,3.022690837,0.4362125001,-0.01034350758
49,,2.985463962,0.01488722639,2.971567694,0.424116251,-3.23E-05
49.33333333,,2.985045044,0.01562296331,2.996749825,0.4400707687,0.01526208238
49.66666667,,2.95187164,-0.002193939579,2.976397735,0.4357308507,0.006467656931
50,,2.994838638,-0.008548492482,3.00900818,0.42601954,0.002077225436
